,,,,,,,,,
,,,Rivian R2 Reservations Tracker Form  <-- Link to submit your order info.                        ,,,,,,
,,,"* After submitting order info, please post a reply in this thread to notify us.",,,,,,
,,,Rivian R2 Reservations Change Request Form  <-- Link to submit edit request for your submitted order info.,,,,,,
,,,,,,,,,
,#,Username,R2 reservation date,Location,,Are you a current Rivian R1 owner?,"If you are a current R1 owner, will you be keeping your R1 and adding an R2?","If you are a current R1 owner, which model?",Other vehicles currently owned
,1,JasperKravitz,3/7/2024,NC,,Yes,Yes,R1T,"Promaster 2500, Colorado ZR2"
,2,kfzarrilli,3/7/2024,CA,,Yes,Yes,Both,"Ford Lightning, Tesla model S PLAID"
,3,kfzarrilli,3/7/2024,CA,,Yes,Yes,Both,"Tesla Model S PLAID, F150 Lightnimng Lariat Platinum"
,4,defcon888,3/7/2024,CA,,Yes,Yes,R1T,2021 Rav4 Prime
,5,xnuywkr,3/7/2024,CO,,Yes,Yes,R1T,Audi Q8
,6,xnuywkr,3/7/2024,CO,,Yes,Yes,R1T,Audi Q8
,7,PBSDDS,3/7/2024,IL,,Yes,Yes,R1S,MDX 
,8,Utah-Jay,3/7/2024,UT,,No,,,Mini Countryman  Subaru Accent
,9,Rookford,3/7/2024,IN,,Yes,Yes,R1T,Chevy Trailblazer
,10,RabidRat,3/7/2024,CA,,Yes,No,R1T,"i3, S2000"
,11,RivianRiverRat,3/7/2024,AL,,Yes,Yes,R1T,Tesla M3
,12,ozmt,3/7/2024,CO,,Yes,No,R1T,Genesis gv70 and 2024 gmc sierra 1500 ultimate denali
,13,Newly1995,3/7/2024,FL,,Yes,Undecided,R1S,Toyota Avalon XSE
,14,Rivgirl1 ,3/7/2024,CA,,Yes,Yes,R1S,
,15,SteveB,3/7/2024,FL,,Yes,Yes,R1T,2023 Audi E-Tron
,16,superman,3/7/2024,TX,,Yes,Yes,R1S,acura/honda
,17,10Blade,3/7/2024,CA,,Yes,Yes,R1S,"Porsche 911, Porsche Cayenne"
,18,Peterpanagio,3/7/2024,GA,,Yes,Yes,Both,Volvo XC90
,19,No_Name5330,3/7/2024,UT,,Yes,Undecided,R1S,"Rivian R1S, Ford F-150 Tremor"
,20,thuckabay,3/7/2024,CA,,Yes,Undecided,R1S,"Bronco, F250"
,21,thuckabay,3/7/2024,CA,,Yes,Undecided,R1S,Bronco F250
,22,Wright,3/7/2024,GA,,Yes,Yes,R1S,Mercedes
,23,greatbooga,3/7/2024,WI,,Yes,Yes,R1S,Honda Accord
,24,mroe,3/7/2024,CA,,Yes,Undecided,R1T,
,25,bentsauce,3/7/2024,WA,,Yes,Yes,R1S,Subaru Outback
,26,nmflyfish,3/7/2024,AZ,,Yes,Undecided,R1S,
,27,Joewhatley,3/7/2024,NV,,Yes,Yes,R1S,
,28,whaleblubber,3/7/2024,TX,,Yes,Yes,R1S,"BMW X3, Toyota Rav4"
,29,fastwheels,3/7/2024,MI,,Yes,Undecided,R1T,"2024 Z06, 2025 Optiq"
,30,wdill,3/7/2024,Canada - British Columbia,,Yes,Undecided,R1S,
,31,mecrider82,3/7/2024,CA,,Yes,Undecided,R1T,
,32,majorfriend,3/7/2024,CO,,Yes,Yes,R1T,Land Cruiser 100
,33,Si.LE.R1S,3/7/2024,NV,,Yes,Undecided,R1S,Audi eTron
,34,SilverII,3/7/2024,TX,,Yes,Undecided,R1T,
,35,manitou202,3/7/2024,CO,,Yes,Undecided,R1T,"EQS SUV, Ioniq 5, Lucid Air"
,36,thapaamit2002,3/7/2024,CA,,Yes,Yes,R1S,Model Y
,37,tiltedandsaltyaf,3/7/2024,CA,,Yes,Yes,R1T,
,38,hilld,3/7/2024,WA,,Yes,Yes,R1T,"Mini Cooper SE, BMW Z4, BMW X1"
,39,gelliman,3/7/2024,CA,,Yes,Undecided,R1T,"Miata, Ram Promaster"
,40,nigele,3/7/2024,WA,,Yes,Undecided,R1S,
,41,AdamL,3/7/2024,WA,,Yes,Yes,R1T,
,42,ChrisP56,3/7/2024,CT,,No,,,Honda
,43,St Bernard,3/7/2024,CA,,No,,,
,44,Yellow5,3/7/2023,IA,,No,No,,"2022 Toyota RAV4 hybrid, 2015 Mazda 6"
,45,dcrob,3/7/2024,VA,,Yes,Undecided,R1S,Volvo XC40 Recharge
,46,RUNNINGDENVER,3/7/2024,CO,,Yes,Yes,R1S,
,47,ThatBillyH,3/7/2024,UT,,Yes,Yes,R1S,
,48,Mattj913,3/7/2024,AZ,,Yes,Yes,R1S,"Mercedes sl550, Audi a4"
,49,bendrumin,3/7/2024,MN,,Yes,Undecided,R1S,Acura RDX
,50,MPW81,3/7/2024,CO,,Yes,Undecided,R1T,
,51,svenkj,3/7/2024,AZ,,Yes,Yes,R1S,"Porsche 911, BMW X3, Kia Telluride"
,52,M&M,3/7/2024,TX,,No,,R1S,BMW
,53,IThinkFreely,3/7/2024,NJ,,Yes,Yes,Both,Bronco Badlands
,54,Tango45,3/7/2024,VA,,Yes,Yes,R1S,Hyundai Ioniq 5
,55,plun,3/7/2024,CA,,Yes,Undecided,R1T,
,56,aab33717,3/7/2024,AZ,,No,,,"Chevrolet Bolt, Toyota Prius"
,57,daemaitehn,3/7/2024,OH,,Yes,Yes,R1S,Ford Fusion
,58,Fuddinator,3/7/2024,TX,,No,,,Tesla Model X
,59,Carmelbythesea,3/7/2024,CA,,Yes,Yes,R1T,Tesla Model Y
,60,Mikehmb,3/7/2024,CA,,Yes,Yes,R1T,
,61,travman1974,3/7/2024,CA,,No,No,,Mach-E
,62,sincladk,3/7/2024,WI,,No,,,"Hyundai IONIQ 5, Nissan Leaf"
,63,kilcin,3/7/2024,WA,,No,,,"2020 Toyota Camry Hybrid, '99 XJ Jeep Cherokee"
,64,PoweRWatt,3/7/2024,TX,,Yes,Yes,R1T,Hyundai Tucson Hybrid
,65,dlucas589,3/7/2024,WI,,Yes,Undecided,R1T,BMW X7
,66,beardedbricker,3/7/2024,MD,,Yes,Undecided,R1S,"1996 Integra Type R, 2020 Lexus GX460"
,67,R1tcentralma,3/7/2024,MA,,Yes,Yes,R1T,
,68,NDIRISH,3/7/2024,AZ,,Yes,Yes,R1T,Tesla Y and Jeep Wrangler
,69,PITTSFLYER,3/7/2024,FL,,Yes,Yes,R1S,Too many to list
,70,lizardo,3/7/2024,TX,,Yes,Undecided,R1T,
,71,Jayhawkeye3,3/7/2024,KS,,Yes,Undecided,R1S,
,72,Ttaussig,3/7/2024,NY,,Yes,Yes,R1T,Macan
,73,kmcrowe,3/7/2024,GA,,Yes,Undecided,R1S,RAM 1500
,74,mabowden,3/7/2024,CA,,Yes,Yes,R1T,
,75,theGraniteChief,3/7/2024,MD,,Yes,Yes,R1S,M5
,76,port direct,3/7/2024,MO,,Yes,Yes,R1T,
,77,NovaRealtor,3/7/2024,VA,,Yes,Yes,R1S,BMW E46M3
,78,ColonelCobra,3/7/2024,TX,,Yes,Undecided,R1T,Tesla Model 3
,79,AMRivlin,3/7/2024,CA,,Yes,Undecided,R1S,Bolt EV
,80,IRONCITIJC,3/7/2024,NH,,Yes,Yes,R1T,BMW X3
,81,DenisRL,3/7/2024,Canada - Ontario,,Yes,Undecided,R1T,Volvo XC60 Recharge
,82,tnawara,3/7/2024,IL,,Yes,Yes,R1S,Tesla Model Y
,83,HeyEllwood,3/7/2024,CA,,Yes,Yes,R1S,Tesla Model Y 
,84,iRun,3/7/2024,OH,,Yes,Yes,R1T,Tesla Model 3
,85,dilsherd,3/7/2024,TX,,Yes,Yes,R1S,
,86,beyond,3/7/2024,VA,,Yes,Yes,R1T,Tesla Model Y Performance
,87,gshutch,3/7/2024,NC,,No,,,Tesla M3 AWD
,88,RivianInCharleston,3/7/2024,SC,,No,,,"2020 Jeep Wrangler, 2019 Ford Edge"
,89, Edit tusharparmar,3/7/2024,TX,,Yes,Undecided,R1S,none
,90,RivRyan,3/7/2024,IL,,No,,,VW ID4
,91,Brianscott21,3/7/2024,MN,,Yes,Yes,R1S,"Expedition, fusion hybrid, camry"
,92,Captain Helly,3/7/2024,WA,,Yes,Undecided,R1T,Nissan Leaf
,93,noplacelikeloam,3/7/2024,OR,,No,Undecided,,F150 Raptor
,94,Riviot,3/7/2024,WA,,Yes,Yes,R1T,Toyota Rav4
,95,teledoc,3/7/2024,UT,,Yes,Undecided,R1S,FJ Cruiser
,96,budman,3/7/2024,MN,,Yes,Yes,R1T,Volvo XC40 Recharge
,97,Revelation,3/7/2024,NC,,Yes,Yes,R1T,
,98,btsoom1,3/7/2024,VA,,Yes,Yes,R1S,2022 Ford Bronco
,99,TrialVersion,3/7/2024,CA,,Yes,Yes,R1S,Tesla Model 3
,100,Aussieshed,3/7/2024,WA,,No,,,Lexus GX470
,101,Terra&Lux,3/7/2024,VA,,No,Undecided,R1S,"Tesla Model X, Jeep Wrangler 4xe"
,102,coshesey,3/7/2024,CA,,Yes,Yes,Both,none
,103,Bc71622,2/7/2024,CA,,Yes,Yes,R1S,Toyota Sienna
,104,oskeei,3/7/2024,IL,,Yes,Undecided,R1S,Silverado Diesel
,105,DFX,3/14/2024,IL,,Yes,Yes,R1S,
,106,LIAMM,3/7/2024,Canada - British Columbia,,Yes,Yes,R1T,"Model 3, Classic Mustang, Motorcycle"
,107,RIVIANR1SGTR,3/7/2024,CA,,No,,,F-150 LIGHTNING/TESLA MODEL 3/GOLF R
,108,Jaason,3/7/2024,CA,,Yes,Yes,R1T,Ford Explorer
,109,KSGA,3/7/2024,GA,,Yes,Yes,R1S,Ram Rebel 1500
,110,Jack99,3/7/2024,MA,,No,,,"Jeep GC, Mercedes ML350"
,111,SANZC02,3/7/2024,CA,,Yes,Yes,R1S,Tesla Model S
,112,Tucker74,3/7/2024,TX,,Yes,Yes,R1T,Toyota Land Cruiser 
,113,williescout,3/7/2024,OR,,Yes,Yes,R1T,"Toyota LC, Toyota 4Runner, Volvo XC90 phev "
,114,Guuma,3/7/2024,OH,,No,,,ID4
,115,Oyabro,3/7/2024,TX,,No,Undecided,,Ford F150 and Volvo XC90
,116,Grounded,3/7/2024,CA,,Yes,Yes,R1T,"Tesla MY, BMW i3, BMW X5d, BMW M3, BMW GS Adv"
,117,PhilN,3/7/2023,WA,,No,Undecided,,Two Tesla Model Y's
